task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
85	6f/2f4119	26516	summarise_stride (8)	COMPLETED	0	2025-07-10 12:02:07.148	505ms	139ms	81.9%	6.3 MB	15.9 MB	655.8 KB	433 B
79	7a/f91306	26524	summarise_stride (2)	COMPLETED	0	2025-07-10 12:02:07.171	565ms	176ms	70.4%	5.5 MB	15.6 MB	648.9 KB	433 B
84	ce/ead670	26586	summarise_stride (7)	COMPLETED	0	2025-07-10 12:02:07.269	491ms	178ms	63.4%	7.3 MB	17.1 MB	648.1 KB	432 B
64	4b/ff5c27	26227	create_md5 (6)	COMPLETED	0	2025-07-10 12:02:06.713	1.1s	732ms	140.0%	5.5 MB	15.6 MB	4.1 MB	358 B
81	69/9d3937	26874	summarise_stride (4)	COMPLETED	0	2025-07-10 12:02:07.464	500ms	136ms	86.8%	6 MB	15.9 MB	650.4 KB	432 B
77	45/4a73a4	26462	create_md5 (19)	COMPLETED	0	2025-07-10 12:02:07.098	1.1s	713ms	133.8%	4.7 MB	14.5 MB	4.1 MB	370 B
78	a6/89993b	27119	summarise_stride (1)	COMPLETED	0	2025-07-10 12:02:07.674	491ms	138ms	73.2%	6.8 MB	16.1 MB	657 KB	434 B
82	f0/42d73d	27250	summarise_stride (5)	COMPLETED	0	2025-07-10 12:02:07.742	481ms	139ms	84.8%	4.5 MB	14.5 MB	650.1 KB	433 B
83	9c/dc4591	27306	summarise_stride (6)	COMPLETED	0	2025-07-10 12:02:07.776	456ms	121ms	93.7%	5.5 MB	15.6 MB	648.3 KB	432 B
80	b1/0bbff2	27362	summarise_stride (3)	COMPLETED	0	2025-07-10 12:02:07.819	470ms	123ms	89.7%	5.8 MB	15.9 MB	655.8 KB	434 B
86	95/222b83	27623	summarise_stride (9)	COMPLETED	0	2025-07-10 12:02:07.981	453ms	125ms	87.4%	6 MB	15.9 MB	645.5 KB	432 B
87	28/f5321a	27944	summarise_stride (10)	COMPLETED	0	2025-07-10 12:02:08.168	432ms	132ms	90.3%	6.3 MB	15.9 MB	650.4 KB	433 B
91	ec/b36edf	27956	summarise_stride (14)	COMPLETED	0	2025-07-10 12:02:08.177	450ms	133ms	84.6%	7.1 MB	16.1 MB	660.1 KB	431 B
89	b6/000175	28068	summarise_stride (12)	COMPLETED	0	2025-07-10 12:02:08.245	440ms	140ms	79.4%	6 MB	15.9 MB	646.5 KB	428 B
92	1a/9ee475	28052	summarise_stride (15)	COMPLETED	0	2025-07-10 12:02:08.240	459ms	142ms	74.3%	5.8 MB	15.9 MB	648.3 KB	428 B
90	c3/5d4c8b	28193	summarise_stride (13)	COMPLETED	0	2025-07-10 12:02:08.294	425ms	132ms	78.7%	6.3 MB	15.9 MB	653.2 KB	428 B
88	e1/a4b89b	28446	summarise_stride (11)	COMPLETED	0	2025-07-10 12:02:08.445	468ms	133ms	86.7%	7.3 MB	17.1 MB	649.3 KB	428 B
97	fc/09fcef	28987	join_plddt_md5 (1)	COMPLETED	0	2025-07-10 12:02:08.724	218ms	9ms	44.4%	0	0	63.9 KB	1.4 KB
94	ee/cc56f5	28832	summarise_stride (17)	COMPLETED	0	2025-07-10 12:02:08.637	394ms	127ms	88.9%	6.3 MB	15.9 MB	651.8 KB	437 B
93	4d/00b68c	28821	summarise_stride (16)	COMPLETED	0	2025-07-10 12:02:08.632	436ms	129ms	87.4%	6 MB	15.9 MB	660.8 KB	438 B
96	27/c5cc01	28924	summarise_stride (19)	COMPLETED	0	2025-07-10 12:02:08.691	389ms	122ms	88.1%	5.8 MB	15.9 MB	649.3 KB	436 B
95	03/58015d	28955	summarise_stride (18)	COMPLETED	0	2025-07-10 12:02:08.706	417ms	104ms	92.3%	5.2 MB	15.6 MB	648.4 KB	436 B
57	66/6485cf	24359	run_measure_globularity (1)	COMPLETED	0	2025-07-10 12:02:04.871	4.9s	4.6s	71.6%	65.2 MB	402.9 MB	11 MB	6.9 KB
98	4b/2fc510	29664	transform_consensus (1)	COMPLETED	0	2025-07-10 12:02:09.151	1.1s	778ms	157.5%	5.5 MB	15.6 MB	9.1 MB	1.7 KB
99	a3/89fa05	29894	run_AF_domain_id (1)	COMPLETED	0	2025-07-10 12:02:10.276	234ms	6ms	47.1%	0	0	75.1 KB	555 B
100	8e/ce56ac	29902	collect_results_final (1)	COMPLETED	0	2025-07-10 12:02:10.291	976ms	735ms	171.7%	5.5 MB	15.6 MB	9.1 MB	4.7 KB
